#####################################################################
#                 NEPTUNE Txys interpolation data                   #
#####################################################################
#	      MJD           x                   y                s
        42451.0 -0.002385382931027 -0.24014451938D-04 -0.16162066D-07
        42451.5 -0.002385209113512 -0.23917508773D-04 -0.16048517D-07
        42452.0 -0.002385050648560 -0.23809273520D-04 -0.15921273D-07
        42452.5 -0.002384909158789 -0.23693165584D-04 -0.15784403D-07
        42453.0 -0.002384785619365 -0.23572815694D-04 -0.15642238D-07
        42453.5 -0.002384680341242 -0.23451935655D-04 -0.15499215D-07
        42454.0 -0.002384592973940 -0.23334189732D-04 -0.15359718D-07
        42454.5 -0.002384522527745 -0.23223070448D-04 -0.15227933D-07
        42455.0 -0.002384467415087 -0.23121782202D-04 -0.15107705D-07
        42455.5 -0.002384425510002 -0.23033136538D-04 -0.15002414D-07
        42456.0 -0.002384394223227 -0.22959462663D-04 -0.14914867D-07
        42456.5 -0.002384370589221 -0.22902535521D-04 -0.14847212D-07
        42457.0 -0.002384351361014 -0.22863521960D-04 -0.14800876D-07
        42457.5 -0.002384333109500 -0.22842943986D-04 -0.14776517D-07
        42458.0 -0.002384312325071 -0.22840657571D-04 -0.14774001D-07
        42458.5 -0.002384285520738 -0.22855845803D-04 -0.14792397D-07
        42459.0 -0.002384249336455 -0.22887025754D-04 -0.14829976D-07
        42459.5 -0.002384200644587 -0.22932068836D-04 -0.14884242D-07
        42460.0 -0.002384136656772 -0.22988234463D-04 -0.14951965D-07
        42460.5 -0.002384055033103 -0.23052217396D-04 -0.15029238D-07
        42461.0 -0.002383953995213 -0.23120210766D-04 -0.15111546D-07
        42461.5 -0.002383832444578 -0.23187989571D-04 -0.15193867D-07
        42462.0 -0.002383690085244 -0.23251022522D-04 -0.15270798D-07
        42462.5 -0.002383527546088 -0.23304621973D-04 -0.15336734D-07
        42463.0 -0.002383346492246 -0.23344141301D-04 -0.15386103D-07
        42463.5 -0.002383149709376 -0.23365225880D-04 -0.15413668D-07
        42464.0 -0.002382941138722 -0.23364117927D-04 -0.15414888D-07
        42464.5 -0.002382725836129 -0.23338006550D-04 -0.15386344D-07
        42465.0 -0.002382509825510 -0.23285401711D-04 -0.15326186D-07
        42465.5 -0.002382299819546 -0.23206494222D-04 -0.15234571D-07
        42466.0 -0.002382102791554 -0.23103445239D-04 -0.15114009D-07
        42466.5 -0.002381925405837 -0.22980533741D-04 -0.14969545D-07
        42467.0 -0.002381773348667 -0.22844088041D-04 -0.14808678D-07
        42467.5 -0.002381650641668 -0.22702145890D-04 -0.14640959D-07
        42468.0 -0.002381559050959 -0.22563830663D-04 -0.14477249D-07
        42468.5 -0.002381497714424 -0.22438492093D-04 -0.14328696D-07
        42469.0 -0.002381463086010 -0.22334723306D-04 -0.14205564D-07
        42469.5 -0.002381449240527 -0.22259410470D-04 -0.14116103D-07
        42470.0 -0.002381448508091 -0.22216979645D-04 -0.14065646D-07
        42470.5 -0.002381452335703 -0.22208971001D-04 -0.14056103D-07
        42471.0 -0.002381452226782 -0.22234002035D-04 -0.14085911D-07
        42471.5 -0.002381440601690 -0.22288099503D-04 -0.14150423D-07
        42472.0 -0.002381411453452 -0.22365309227D-04 -0.14242624D-07
        42472.5 -0.002381360730208 -0.22458452688D-04 -0.14354031D-07
        42473.0 -0.002381286439268 -0.22559896287D-04 -0.14475599D-07
