0.00208333 -0.0000965
0.00416667 0.0000796
0.00625 0.0002064
0.00833333 0.0002826
0.0104167 0.0003132
0.0125 0.0002950
0.0145833 0.0002225
0.0166667 0.0001022
0.01875 -0.0000396
0.0208333 -0.0002302
0.0229167 -0.0004525
0.025 -0.0006981
0.0270833 -0.0009529
0.0291667 -0.0012155
0.03125 -0.0014752
0.0333333 -0.0017150
0.0354167 -0.0019235
0.0375 -0.0020948
0.0395833 -0.0022294
0.0416667 -0.0023247
0.04375 -0.0023593
0.0458333 -0.0023467
0.0479167 -0.0022864
0.05 -0.0021618
0.0520833 -0.0019956
0.0541667 -0.0017870
0.05625 -0.0015457
0.0583333 -0.0012762
0.0604167 -0.0010009
0.0625 -0.0007174
0.0645833 -0.0004486
0.0666667 -0.0002046
0.06875 0.0000097
0.0708333 0.0001862
0.0729167 0.0003212
0.075 0.0003969
0.0770833 0.0004236
0.0791667 0.0003980
0.08125 0.0003191
0.0833333 0.0001904
0.0854167 0.0000233
0.0875 -0.0001910
0.0895833 -0.0004231
0.0916667 -0.0006748
0.09375 -0.0009403
0.0958333 -0.0012091
0.0979167 -0.0014610
0.1 -0.0017035
0.102083 -0.0019219
0.104167 -0.0021146
0.10625 -0.0022592
0.108333 -0.0023723
0.110417 -0.0024467
0.1125 -0.0024731
0.114583 -0.0024429
0.116667 -0.0023699
0.11875 -0.0022568
0.120833 -0.0021003
0.122917 -0.0019029
0.125 -0.0016864
0.127083 -0.0014559
0.129167 -0.0012131
0.13125 -0.0009805
0.133333 -0.0007620
0.135417 -0.0005753
0.1375 -0.0004100
0.139583 -0.0002932
0.141667 -0.0002303
0.14375 -0.0002245
0.145833 -0.0002662
0.147917 -0.0003747
0.15 -0.0005337
0.152083 -0.0007565
0.154167 -0.0010206
0.15625 -0.0013223
0.158333 -0.0016581
0.160417 -0.0020102
0.1625 -0.0023716
0.164583 -0.0027459
0.166667 -0.0031182
0.16875 -0.0034699
0.170833 -0.0037951
0.172917 -0.0040786
0.175 -0.0043206
0.177083 -0.0045093
0.179167 -0.0046251
0.18125 -0.0047122
0.183333 -0.0047277
0.185417 -0.0046901
0.1875 -0.0046152
0.189583 -0.0044921
0.191667 -0.0043283
0.19375 -0.0041475
0.195833 -0.0039465
0.197917 -0.0037286
0.2 -0.0035243
0.202083 -0.0033513
