  0   0.000000000000E+00
  1   0.000000000000E+00
  2   0.184060000000E-10
  3   0.183457142857E-10
  4   0.742433333333E-11
  5   0.689245454545E-11
  6   0.439376923077E-11
  7   0.407566666667E-11
  8   0.311782352941E-11
  9   0.287426315789E-11
 10   0.234415714286E-11
 11   0.225493043478E-11
 12   0.195228800000E-11
 13   0.187542962963E-11
 14   0.173140689655E-11
 15   0.162987419355E-11
 16   0.159498484848E-11
 17   0.148834285714E-11
 18   0.149010810811E-11
 19   0.137492051282E-11
 20   0.141052926829E-11
 21   0.137988604651E-11
 22   0.148552222222E-11
 23   0.146724893617E-11
 24   0.156408571429E-11
 25   0.156832549020E-11
 26   0.164892830189E-11
 27   0.168768363636E-11
 28   0.174895789474E-11
 29   0.182516610169E-11
 30   0.187144918033E-11
 31   0.197890000000E-11
 32   0.201746615385E-11
 33   0.214384179104E-11
 34   0.218327971014E-11
 35   0.232318873239E-11
 36   0.237780136986E-11
 37   0.252555200000E-11
 38   0.259571818182E-11
 39   0.275041518987E-11
 40   0.283213827160E-11
 41   0.299013132530E-11
 42   0.309178823529E-11
 43   0.325636781609E-11
 44   0.338038202247E-11
 45   0.354929670330E-11
 46   0.370137634409E-11
 47   0.388669473684E-11
 48   0.405657731959E-11
 49   0.427366666667E-11
 50   0.445586138614E-11
 51   0.470417475728E-11
 52   0.491108571429E-11
 53   0.518766355140E-11
 54   0.543300917431E-11
 55   0.572231531532E-11
 56   0.599694690265E-11
 57   0.632209565217E-11
 58   0.663281196581E-11
 59   0.699732773109E-11
 60   0.734278512397E-11
 61   0.775508943089E-11
 62   0.814105600000E-11
 63   0.858710236220E-11
 64   0.902594573643E-11
 65   0.951021374046E-11
 66   0.100059398496E-10
 67   0.105402444444E-10
 68   0.110909927007E-10
 69   0.117029928058E-10
 70   0.122917304965E-10
